5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 2 Flow (Veh/5 Minutes),Flow (Veh/5 Minutes),# Lane Points,% Observed
11/01/2018 15:00,42,0,42,2,50
11/01/2018 15:05,51,0,51,2,50
11/01/2018 15:10,50,0,50,2,50
11/01/2018 15:15,53,0,53,2,50
11/01/2018 15:20,46,0,46,2,50
11/01/2018 15:25,54,0,54,2,50
11/01/2018 15:30,55,0,55,2,50
11/01/2018 15:35,43,0,43,2,50
11/01/2018 15:40,60,0,60,2,50
11/01/2018 15:45,50,0,50,2,50
11/01/2018 15:50,62,0,62,2,50
11/01/2018 15:55,74,0,74,2,50
11/01/2018 16:00,91,0,91,2,50
11/01/2018 16:05,74,0,74,2,50
11/01/2018 16:10,75,0,75,2,50
11/01/2018 16:15,79,0,79,2,50
11/01/2018 16:20,73,0,73,2,50
11/01/2018 16:25,87,0,87,2,50
11/01/2018 16:30,90,0,90,2,50
11/01/2018 16:35,77,0,77,2,50
11/01/2018 16:40,76,0,76,2,50
11/01/2018 16:45,83,0,83,2,50
11/01/2018 16:50,78,0,78,2,50
11/01/2018 16:55,61,0,61,2,50
11/01/2018 17:00,74,0,74,2,50
11/01/2018 17:05,75,0,75,2,50
11/01/2018 17:10,71,0,71,2,50
11/01/2018 17:15,76,0,76,2,50
11/01/2018 17:20,57,0,57,2,50
11/01/2018 17:25,63,0,63,2,50
11/01/2018 17:30,59,0,59,2,50
11/01/2018 17:35,60,0,60,2,50
11/01/2018 17:40,62,0,62,2,50
11/01/2018 17:45,50,0,50,2,50
11/01/2018 17:50,53,0,53,2,50
11/01/2018 17:55,46,0,46,2,50
11/01/2018 18:00,42,0,42,2,50
11/01/2018 18:05,43,0,43,2,50
11/01/2018 18:10,52,0,52,2,50
11/01/2018 18:15,47,0,47,2,50
11/01/2018 18:20,34,0,34,2,50
11/01/2018 18:25,44,0,44,2,50
11/01/2018 18:30,26,0,26,2,50
11/01/2018 18:35,39,0,39,2,50
11/01/2018 18:40,36,0,36,2,50
11/01/2018 18:45,30,0,30,2,50
11/01/2018 18:50,16,0,16,2,50
11/01/2018 18:55,33,0,33,2,50
11/01/2018 19:00,23,0,23,2,50
11/01/2018 19:05,27,0,27,2,50
11/01/2018 19:10,26,0,26,2,50
11/01/2018 19:15,23,0,23,2,50
11/01/2018 19:20,19,0,19,2,50
11/01/2018 19:25,15,0,15,2,50
11/01/2018 19:30,22,0,22,2,50
11/01/2018 19:35,25,0,25,2,50
11/01/2018 19:40,13,0,13,2,50
11/01/2018 19:45,13,0,13,2,50
11/01/2018 19:50,15,0,15,2,50
11/01/2018 19:55,20,0,20,2,50
11/01/2018 20:00,19,0,19,2,50
11/01/2018 20:05,13,0,13,2,50
11/01/2018 20:10,11,0,11,2,50
11/01/2018 20:15,13,0,13,2,50
11/01/2018 20:20,17,0,17,2,50
11/01/2018 20:25,15,0,15,2,50
11/01/2018 20:30,12,0,12,2,50
11/01/2018 20:35,14,0,14,2,50
11/01/2018 20:40,12,0,12,2,50
11/01/2018 20:45,13,0,13,2,50
11/01/2018 20:50,15,0,15,2,50
11/01/2018 20:55,16,0,16,2,50
11/02/2018 15:00,71,0,71,2,50
11/02/2018 15:05,76,0,76,2,50
11/02/2018 15:10,75,0,75,2,50
11/02/2018 15:15,85,0,85,2,50
11/02/2018 15:20,83,0,83,2,50
11/02/2018 15:25,76,0,76,2,50
11/02/2018 15:30,107,0,107,2,50
11/02/2018 15:35,83,0,83,2,50
11/02/2018 15:40,70,0,70,2,50
11/02/2018 15:45,93,0,93,2,50
11/02/2018 15:50,81,0,81,2,50
11/02/2018 15:55,113,0,113,2,50
11/02/2018 16:00,103,0,103,2,50
11/02/2018 16:05,96,0,96,2,50
11/02/2018 16:10,73,0,73,2,50
11/02/2018 16:15,68,0,68,2,50
11/02/2018 16:20,73,0,73,2,50
11/02/2018 16:25,75,0,75,2,50
11/02/2018 16:30,68,0,68,2,50
11/02/2018 16:35,84,0,84,2,50
11/02/2018 16:40,84,0,84,2,50
11/02/2018 16:45,106,0,106,2,50
11/02/2018 16:50,73,0,73,2,50
11/02/2018 16:55,97,0,97,2,50
11/02/2018 17:00,98,0,98,2,50
11/02/2018 17:05,94,0,94,2,50
11/02/2018 17:10,74,0,74,2,50
11/02/2018 17:15,61,0,61,2,50
11/02/2018 17:20,79,0,79,2,50
11/02/2018 17:25,58,0,58,2,50
11/02/2018 17:30,58,0,58,2,50
11/02/2018 17:35,53,0,53,2,50
11/02/2018 17:40,25,0,25,2,50
11/02/2018 17:45,47,0,47,2,50
11/02/2018 17:50,53,0,53,2,50
11/02/2018 17:55,50,0,50,2,50
11/02/2018 18:00,34,0,34,2,50
11/02/2018 18:05,42,0,42,2,50
11/02/2018 18:10,37,0,37,2,50
11/02/2018 18:15,31,0,31,2,50
