5 Minutes,Lane 1 Flow (Veh/5 Minutes),Flow (Veh/5 Minutes),# Lane Points,% Observed
8/22/2018 15:00,40,40,1,100
8/22/2018 15:05,44,44,1,100
8/22/2018 15:10,30,30,1,100
8/22/2018 15:15,34,34,1,100
8/22/2018 15:20,34,34,1,100
8/22/2018 15:25,39,39,1,100
8/22/2018 15:30,45,45,1,100
8/22/2018 15:35,51,51,1,100
8/22/2018 15:40,42,42,1,100
8/22/2018 15:45,41,41,1,100
8/22/2018 15:50,54,54,1,100
8/22/2018 15:55,47,47,1,100
8/22/2018 16:00,28,28,1,100
8/22/2018 16:05,59,59,1,100
8/22/2018 16:10,36,36,1,100
8/22/2018 16:15,45,45,1,100
8/22/2018 16:20,44,44,1,100
8/22/2018 16:25,47,47,1,100
8/22/2018 16:30,45,45,1,100
8/22/2018 16:35,47,47,1,100
8/22/2018 16:40,61,61,1,100
8/22/2018 16:45,60,60,1,100
8/22/2018 16:50,62,62,1,100
8/22/2018 16:55,49,49,1,100
8/22/2018 17:00,50,50,1,100
8/22/2018 17:05,58,58,1,100
8/22/2018 17:10,61,61,1,100
8/22/2018 17:15,72,72,1,100
8/22/2018 17:20,74,74,1,100
8/22/2018 17:25,64,64,1,100
8/22/2018 17:30,62,62,1,100
8/22/2018 17:35,66,66,1,100
8/22/2018 17:40,82,82,1,100
8/22/2018 17:45,86,86,1,100
8/22/2018 17:50,92,92,1,100
8/22/2018 17:55,92,92,1,100
8/22/2018 18:00,60,60,1,100
8/22/2018 18:05,63,63,1,100
8/22/2018 18:10,63,63,1,100
8/22/2018 18:15,61,61,1,100
8/22/2018 18:20,65,65,1,100
8/22/2018 18:25,56,56,1,100
8/22/2018 18:30,48,48,1,100
8/22/2018 18:35,62,62,1,100
8/22/2018 18:40,67,67,1,100
8/22/2018 18:45,64,64,1,100
8/22/2018 18:50,68,68,1,100
8/22/2018 18:55,49,49,1,100
8/22/2018 19:00,34,34,1,100
8/22/2018 19:05,53,53,1,100
8/22/2018 19:10,52,52,1,100
8/22/2018 19:15,25,25,1,100
8/22/2018 19:20,34,34,1,100
8/22/2018 19:25,49,49,1,100
8/22/2018 19:30,31,31,1,100
8/22/2018 19:35,39,39,1,100
8/22/2018 19:40,28,28,1,100
8/22/2018 19:45,34,34,1,100
8/22/2018 19:50,29,29,1,100
8/22/2018 19:55,30,30,1,100
8/22/2018 20:00,28,28,1,100
8/22/2018 20:05,30,30,1,100
8/22/2018 20:10,16,16,1,100
8/22/2018 20:15,27,27,1,100
8/22/2018 20:20,19,19,1,100
8/22/2018 20:25,35,35,1,100
8/22/2018 20:30,26,26,1,100
8/22/2018 20:35,28,28,1,100
8/22/2018 20:40,26,26,1,100
8/22/2018 20:45,21,21,1,100
8/22/2018 20:50,24,24,1,100
8/22/2018 20:55,27,27,1,100
8/23/2018 15:00,34,34,1,100
8/23/2018 15:05,33,33,1,100
8/23/2018 15:10,37,37,1,100
8/23/2018 15:15,32,32,1,100
8/23/2018 15:20,34,34,1,100
8/23/2018 15:25,49,49,1,100
8/23/2018 15:30,36,36,1,100
8/23/2018 15:35,33,33,1,100
8/23/2018 15:40,48,48,1,100
8/23/2018 15:45,54,54,1,100
8/23/2018 15:50,40,40,1,100
8/23/2018 15:55,45,45,1,100
8/23/2018 16:00,29,29,1,100
8/23/2018 16:05,59,59,1,100
8/23/2018 16:10,44,44,1,100
8/23/2018 16:15,52,52,1,100
8/23/2018 16:20,47,47,1,100
8/23/2018 16:25,47,47,1,100
8/23/2018 16:30,48,48,1,100
8/23/2018 16:35,57,57,1,100
8/23/2018 16:40,50,50,1,100
8/23/2018 16:45,47,47,1,100
8/23/2018 16:50,71,71,1,100
8/23/2018 16:55,65,65,1,100
8/23/2018 17:00,41,41,1,100
8/23/2018 17:05,74,74,1,100
8/23/2018 17:10,66,66,1,100
8/23/2018 17:15,78,78,1,100
8/23/2018 17:20,76,76,1,100
8/23/2018 17:25,70,70,1,100
8/23/2018 17:30,76,76,1,100
8/23/2018 17:35,81,81,1,100
8/23/2018 17:40,68,68,1,100
8/23/2018 17:45,59,59,1,100
8/23/2018 17:50,81,81,1,100
8/23/2018 17:55,83,83,1,100
8/23/2018 18:00,65,65,1,100
8/23/2018 18:05,78,78,1,100
8/23/2018 18:10,50,50,1,100
8/23/2018 18:15,73,73,1,100
8/23/2018 18:20,62,62,1,100
8/23/2018 18:25,73,73,1,100
8/23/2018 18:30,60,60,1,100
8/23/2018 18:35,59,59,1,100
8/23/2018 18:40,45,45,1,100
8/23/2018 18:45,53,53,1,100
8/23/2018 18:50,46,46,1,100
8/23/2018 18:55,63,63,1,100
8/23/2018 19:00,47,47,1,100
8/23/2018 19:05,47,47,1,100
8/23/2018 19:10,55,55,1,100
8/23/2018 19:15,34,34,1,100
8/23/2018 19:20,34,34,1,100
8/23/2018 19:25,35,35,1,100
8/23/2018 19:30,27,27,1,100
8/23/2018 19:35,31,31,1,100
8/23/2018 19:40,34,34,1,100
8/23/2018 19:45,42,42,1,100
8/23/2018 19:50,34,34,1,100
8/23/2018 19:55,34,34,1,100
8/23/2018 20:00,42,42,1,100
8/23/2018 20:05,26,26,1,100
8/23/2018 20:10,37,37,1,100
8/23/2018 20:15,33,33,1,100
8/23/2018 20:20,29,29,1,100
8/23/2018 20:25,35,35,1,100
8/23/2018 20:30,19,19,1,100
8/23/2018 20:35,16,16,1,100
8/23/2018 20:40,18,18,1,100
8/23/2018 20:45,19,19,1,100
8/23/2018 20:50,22,22,1,100
8/23/2018 20:55,21,21,1,100
8/24/2018 15:00,37,37,1,100
8/24/2018 15:05,45,45,1,100
8/24/2018 15:10,26,26,1,100
8/24/2018 15:15,36,36,1,100
8/24/2018 15:20,37,37,1,100
8/24/2018 15:25,30,30,1,100
8/24/2018 15:30,38,38,1,100
8/24/2018 15:35,38,38,1,100
8/24/2018 15:40,41,41,1,100
8/24/2018 15:45,42,42,1,100
8/24/2018 15:50,46,46,1,100
8/24/2018 15:55,48,48,1,100
8/24/2018 16:00,53,53,1,100
8/24/2018 16:05,53,53,1,100
8/24/2018 16:10,44,44,1,100
8/24/2018 16:15,38,38,1,100
8/24/2018 16:20,36,36,1,100
8/24/2018 16:25,51,51,1,100
8/24/2018 16:30,48,48,1,100
8/24/2018 16:35,65,65,1,100
8/24/2018 16:40,48,48,1,100
8/24/2018 16:45,38,38,1,100
8/24/2018 16:50,44,44,1,100
8/24/2018 16:55,38,38,1,100
8/24/2018 17:00,45,45,1,100
8/24/2018 17:05,62,62,1,100
8/24/2018 17:10,46,46,1,100
8/24/2018 17:15,71,71,1,100
8/24/2018 17:20,65,65,1,100
8/24/2018 17:25,50,50,1,100
8/24/2018 17:30,43,43,1,100
8/24/2018 17:35,64,64,1,100
8/24/2018 17:40,57,57,1,100
8/24/2018 17:45,57,57,1,100
8/24/2018 17:50,58,58,1,100
8/24/2018 17:55,50,50,1,100
8/24/2018 18:00,53,53,1,100
8/24/2018 18:05,78,78,1,100
8/24/2018 18:10,51,51,1,100
8/24/2018 18:15,55,55,1,100
8/24/2018 18:20,41,41,1,100
8/24/2018 18:25,58,58,1,100
8/24/2018 18:30,53,53,1,100
8/24/2018 18:35,37,37,1,100
8/24/2018 18:40,41,41,1,100
8/24/2018 18:45,32,32,1,100
8/24/2018 18:50,45,45,1,100
8/24/2018 18:55,45,45,1,100
8/24/2018 19:00,38,38,1,100
8/24/2018 19:05,46,46,1,100
8/24/2018 19:10,28,28,1,100
8/24/2018 19:15,23,23,1,100
8/24/2018 19:20,37,37,1,100
8/24/2018 19:25,37,37,1,100
8/24/2018 19:30,29,29,1,100
8/24/2018 19:35,22,22,1,100
8/24/2018 19:40,26,26,1,100
8/24/2018 19:45,16,16,1,100
8/24/2018 19:50,24,24,1,100
8/24/2018 19:55,25,25,1,100
8/24/2018 20:00,23,23,1,100
8/24/2018 20:05,22,22,1,100
8/24/2018 20:10,29,29,1,100
8/24/2018 20:15,18,18,1,100
8/24/2018 20:20,24,24,1,100
8/24/2018 20:25,29,29,1,100
8/24/2018 20:30,20,20,1,100
8/24/2018 20:35,14,14,1,100
8/24/2018 20:40,20,20,1,100
8/24/2018 20:45,25,25,1,100
8/24/2018 20:50,21,21,1,100
8/24/2018 20:55,24,24,1,100
8/27/2018 15:00,38,38,1,100
8/27/2018 15:05,22,22,1,100
8/27/2018 15:10,34,34,1,100
8/27/2018 15:15,38,38,1,100
8/27/2018 15:20,37,37,1,100
8/27/2018 15:25,34,34,1,100
8/27/2018 15:30,27,27,1,100
8/27/2018 15:35,35,35,1,100
8/27/2018 15:40,44,44,1,100
8/27/2018 15:45,43,43,1,100
8/27/2018 15:50,32,32,1,100
8/27/2018 15:55,40,40,1,100
8/27/2018 16:00,44,44,1,100
8/27/2018 16:05,44,44,1,100
8/27/2018 16:10,39,39,1,100
8/27/2018 16:15,40,40,1,100
8/27/2018 16:20,40,40,1,100
8/27/2018 16:25,37,37,1,100
8/27/2018 16:30,26,26,1,100
8/27/2018 16:35,41,41,1,100
8/27/2018 16:40,43,43,1,100
8/27/2018 16:45,51,51,1,100
8/27/2018 16:50,41,41,1,100
8/27/2018 16:55,32,32,1,100
8/27/2018 17:00,34,34,1,100
8/27/2018 17:05,57,57,1,100
8/27/2018 17:10,73,73,1,100
8/27/2018 17:15,43,43,1,100
8/27/2018 17:20,51,51,1,100
8/27/2018 17:25,54,54,1,100
8/27/2018 17:30,69,69,1,100
8/27/2018 17:35,66,66,1,100
8/27/2018 17:40,63,63,1,100
8/27/2018 17:45,69,69,1,100
8/27/2018 17:50,68,68,1,100
8/27/2018 17:55,64,64,1,100
8/27/2018 18:00,68,68,1,100
8/27/2018 18:05,61,61,1,100
8/27/2018 18:10,49,49,1,100
8/27/2018 18:15,56,56,1,100
8/27/2018 18:20,64,64,1,100
8/27/2018 18:25,61,61,1,100
8/27/2018 18:30,59,59,1,100
8/27/2018 18:35,37,37,1,100
8/27/2018 18:40,49,49,1,100
8/27/2018 18:45,36,36,1,100
8/27/2018 18:50,52,52,1,100
8/27/2018 18:55,52,52,1,100
8/27/2018 19:00,44,44,1,100
8/27/2018 19:05,36,36,1,100
8/27/2018 19:10,48,48,1,100
8/27/2018 19:15,41,41,1,100
8/27/2018 19:20,31,31,1,100
8/27/2018 19:25,35,35,1,100
8/27/2018 19:30,31,31,1,100
8/27/2018 19:35,31,31,1,100
8/27/2018 19:40,29,29,1,100
8/27/2018 19:45,39,39,1,100
8/27/2018 19:50,30,30,1,100
8/27/2018 19:55,31,31,1,100
8/27/2018 20:00,18,18,1,100
8/27/2018 20:05,30,30,1,100
8/27/2018 20:10,30,30,1,100
8/27/2018 20:15,21,21,1,100
8/27/2018 20:20,22,22,1,100
8/27/2018 20:25,13,13,1,100
8/27/2018 20:30,15,15,1,100
8/27/2018 20:35,20,20,1,100
8/27/2018 20:40,23,23,1,100
8/27/2018 20:45,15,15,1,100
8/27/2018 20:50,26,26,1,100
8/27/2018 20:55,19,19,1,100
8/28/2018 15:00,32,32,1,100
8/28/2018 15:05,33,33,1,100
8/28/2018 15:10,42,42,1,100
8/28/2018 15:15,50,50,1,100
8/28/2018 15:20,34,34,1,100
8/28/2018 15:25,42,42,1,100
8/28/2018 15:30,41,41,1,100
8/28/2018 15:35,47,47,1,100
8/28/2018 15:40,40,40,1,100
8/28/2018 15:45,40,40,1,100
8/28/2018 15:50,40,40,1,100
8/28/2018 15:55,47,47,1,100
8/28/2018 16:00,41,41,1,100
8/28/2018 16:05,51,51,1,100
8/28/2018 16:10,32,32,1,100
8/28/2018 16:15,37,37,1,100
8/28/2018 16:20,43,43,1,100
8/28/2018 16:25,47,47,1,100
8/28/2018 16:30,42,42,1,100
8/28/2018 16:35,35,35,1,100
8/28/2018 16:40,48,48,1,100
8/28/2018 16:45,53,53,1,100
8/28/2018 16:50,50,50,1,100
8/28/2018 16:55,52,52,1,100
8/28/2018 17:00,50,50,1,100
8/28/2018 17:05,60,60,1,100
8/28/2018 17:10,61,61,1,100
8/28/2018 17:15,53,53,1,100
