5 Minutes,Lane 1 Flow (Veh/5 Minutes),Flow (Veh/5 Minutes),# Lane Points,% Observed
11/01/2018 15:00,49,49,1,100
11/01/2018 15:05,53,53,1,100
11/01/2018 15:10,56,56,1,100
11/01/2018 15:15,59,59,1,100
11/01/2018 15:20,68,68,1,100
11/01/2018 15:25,79,79,1,100
11/01/2018 15:30,62,62,1,100
11/01/2018 15:35,81,81,1,100
11/01/2018 15:40,84,84,1,100
11/01/2018 15:45,79,79,1,100
11/01/2018 15:50,74,74,1,100
11/01/2018 15:55,91,91,1,100
11/01/2018 16:00,93,93,1,100
11/01/2018 16:05,73,73,1,100
11/01/2018 16:10,86,86,1,100
11/01/2018 16:15,75,75,1,100
11/01/2018 16:20,91,91,1,100
11/01/2018 16:25,79,79,1,100
11/01/2018 16:30,75,75,1,100
11/01/2018 16:35,83,83,1,100
11/01/2018 16:40,88,88,1,100
11/01/2018 16:45,100,100,1,100
11/01/2018 16:50,85,85,1,100
11/01/2018 16:55,90,90,1,100
11/01/2018 17:00,46,46,1,100
11/01/2018 17:05,58,58,1,100
11/01/2018 17:10,56,56,1,100
11/01/2018 17:15,89,89,1,100
11/01/2018 17:20,69,69,1,100
11/01/2018 17:25,60,60,1,100
11/01/2018 17:30,56,56,1,100
11/01/2018 17:35,67,67,1,100
11/01/2018 17:40,59,59,1,100
11/01/2018 17:45,56,56,1,100
11/01/2018 17:50,65,65,1,100
11/01/2018 17:55,77,77,1,100
11/01/2018 18:00,68,68,1,100
11/01/2018 18:05,60,60,1,100
11/01/2018 18:10,94,94,1,100
11/01/2018 18:15,56,56,1,100
11/01/2018 18:20,46,46,1,100
11/01/2018 18:25,82,82,1,100
11/01/2018 18:30,66,66,1,100
11/01/2018 18:35,59,59,1,100
11/01/2018 18:40,57,57,1,100
11/01/2018 18:45,55,55,1,100
11/01/2018 18:50,68,68,1,100
11/01/2018 18:55,55,55,1,100
11/01/2018 19:00,54,54,1,100
11/01/2018 19:05,29,29,1,100
11/01/2018 19:10,48,48,1,100
11/01/2018 19:15,38,38,1,100
11/01/2018 19:20,27,27,1,100
11/01/2018 19:25,39,39,1,100
11/01/2018 19:30,32,32,1,100
